Date,Close
2011/11/11,"2,695.00"
2011/11/14,"2,750.20"
2011/11/15,"2,744.68"
2011/11/16,"2,670.12"
2011/11/17,"2,662.02"
2011/11/18,"2,606.50"
2011/11/21,"2,609.69"
2011/11/22,"2,609.48"
2011/11/23,"2,584.01"
2011/11/24,"2,588.92"
2011/11/25,"2,569.97"
2011/11/28,"2,573.32"
2011/11/29,"2,608.57"
2011/11/30,"2,521.52"
2011/12/1,"2,583.61"
2011/12/2,"2,557.31"
2011/12/5,"2,521.39"
2011/12/6,"2,516.34"
2011/12/7,"2,528.23"
2011/12/8,"2,525.00"
2011/12/9,"2,503.46"
2011/12/12,"2,477.69"
2011/12/13,"2,421.93"
2011/12/14,"2,397.48"
2011/12/15,"2,340.79"
2011/12/16,"2,390.13"
2011/12/19,"2,384.41"
2011/12/20,"2,377.07"
2011/12/21,"2,339.11"
2011/12/22,"2,341.34"
2011/12/23,"2,359.16"
2011/12/26,"2,335.70"
2011/12/27,"2,305.04"
2011/12/28,"2,307.93"
2011/12/29,"2,311.36"
2011/12/30,"2,345.74"
2012/1/4,"2,298.75"
2012/1/5,"2,276.39"
2012/1/6,"2,290.60"
2012/1/9,"2,368.57"
2012/1/10,"2,447.35"
2012/1/11,"2,435.61"
2012/1/12,"2,435.22"
2012/1/13,"2,394.33"
2012/1/16,"2,345.65"
2012/1/17,"2,460.60"
2012/1/18,"2,422.19"
2012/1/19,"2,468.35"
2012/1/20,"2,504.09"
2012/1/30,"2,460.72"
2012/1/31,"2,464.26"
2012/2/1,"2,428.99"
2012/2/2,"2,486.24"
2012/2/3,"2,506.09"
2012/2/6,"2,504.32"
2012/2/7,"2,457.95"
2012/2/8,"2,528.24"
2012/2/9,"2,529.23"
2012/2/10,"2,533.62"
2012/2/13,"2,531.98"
2012/2/14,"2,522.11"
2012/2/15,"2,549.61"
2012/2/16,"2,536.07"
2012/2/17,"2,537.09"
2012/2/20,"2,540.71"
2012/2/21,"2,562.45"
2012/2/22,"2,597.48"
2012/2/23,"2,606.26"
2012/2/24,"2,648.02"
2012/2/27,"2,656.57"
2012/2/28,"2,662.46"
2012/2/29,"2,634.14"
2012/3/1,"2,633.35"
2012/3/2,"2,679.93"
2012/3/5,"2,662.70"
2012/3/6,"2,621.05"
2012/3/7,"2,603.01"
2012/3/8,"2,635.79"
2012/3/9,"2,664.30"
2012/3/12,"2,654.40"
2012/3/13,"2,681.07"
2012/3/14,"2,605.11"
2012/3/15,"2,585.55"
2012/3/16,"2,623.52"
2012/3/19,"2,630.01"
2012/3/20,"2,584.45"
2012/3/21,"2,587.79"
2012/3/22,"2,583.75"
2012/3/23,"2,552.94"
2012/3/26,"2,555.44"
2012/3/27,"2,547.14"
2012/3/28,"2,474.90"
2012/3/29,"2,443.12"
2012/3/30,"2,454.90"
2012/4/5,"2,512.83"
2012/4/6,"2,519.83"
2012/4/9,"2,495.15"
2012/4/10,"2,519.79"
2012/4/11,"2,520.04"
2012/4/12,"2,570.44"
2012/4/13,"2,580.45"
2012/4/16,"2,574.04"
2012/4/17,"2,541.88"
2012/4/18,"2,599.91"
2012/4/19,"2,596.06"
2012/4/20,"2,626.84"
2012/4/23,"2,606.04"
2012/4/24,"2,604.87"
2012/4/25,"2,625.99"
2012/4/26,"2,631.49"
2012/4/27,"2,626.16"
2012/5/2,"2,683.49"
2012/5/3,"2,691.52"
2012/5/4,"2,715.88"
2012/5/7,"2,717.78"
2012/5/8,"2,709.12"
2012/5/9,"2,657.51"
2012/5/10,"2,657.21"
2012/5/11,"2,636.92"
2012/5/14,"2,615.53"
2012/5/15,"2,617.37"
2012/5/16,"2,574.65"
2012/5/17,"2,613.94"
2012/5/18,"2,573.98"
2012/5/21,"2,587.23"
2012/5/22,"2,627.53"
2012/5/23,"2,616.87"
2012/5/24,"2,595.26"
2012/5/25,"2,573.10"
2012/5/28,"2,614.69"
2012/5/29,"2,650.85"
2012/5/30,"2,642.26"
2012/5/31,"2,632.04"
2012/6/1,"2,633.00"
2012/6/4,"2,559.03"
2012/6/5,"2,558.84"
2012/6/6,"2,557.40"
2012/6/7,"2,542.18"
2012/6/8,"2,524.33"
2012/6/11,"2,558.27"
2012/6/12,"2,540.18"
2012/6/13,"2,580.64"
2012/6/14,"2,560.42"
2012/6/15,"2,568.05"
2012/6/18,"2,581.21"
2012/6/19,"2,558.62"
2012/6/20,"2,552.61"
2012/6/21,"2,512.19"
2012/6/25,"2,456.52"
2012/6/26,"2,454.92"
2012/6/27,"2,447.20"
2012/6/28,"2,425.73"
2012/6/29,"2,461.61"
2012/7/2,"2,465.24"
2012/7/3,"2,468.72"
2012/7/4,"2,464.92"
2012/7/5,"2,430.37"
2012/7/6,"2,472.61"
2012/7/9,"2,416.04"
2012/7/10,"2,406.71"
2012/7/11,"2,425.57"
2012/7/12,"2,449.18"
2012/7/13,"2,450.63"
2012/7/16,"2,399.73"
2012/7/17,"2,414.20"
2012/7/18,"2,414.34"
2012/7/19,"2,424.32"
2012/7/20,"2,398.46"
2012/7/23,"2,365.43"
2012/7/24,"2,375.99"
2012/7/25,"2,360.08"
2012/7/26,"2,347.49"
2012/7/27,"2,349.11"
2012/7/30,"2,335.79"
2012/7/31,"2,332.92"
2012/8/1,"2,358.65"
2012/8/2,"2,334.88"
2012/8/3,"2,353.74"
2012/8/6,"2,385.61"
2012/8/7,"2,388.87"
2012/8/8,"2,389.80"
2012/8/9,"2,411.70"
2012/8/10,"2,399.75"
2012/8/13,"2,351.93"
2012/8/14,"2,357.02"
2012/8/15,"2,331.62"
2012/8/16,"2,319.67"
2012/8/17,"2,313.48"
2012/8/20,"2,301.79"
2012/8/21,"2,313.70"
2012/8/22,"2,295.59"
2012/8/23,"2,302.20"
2012/8/24,"2,275.68"
2012/8/27,"2,228.20"
2012/8/28,"2,238.41"
2012/8/29,"2,214.81"
2012/8/30,"2,211.37"
2012/8/31,"2,204.87"
2012/9/3,"2,228.37"
2012/9/4,"2,204.41"
2012/9/5,"2,199.88"
2012/9/6,"2,217.82"
2012/9/7,"2,317.18"
2012/9/10,"2,326.67"
2012/9/11,"2,311.89"
2012/9/12,"2,320.07"
2012/9/13,"2,298.46"
2012/9/14,"2,315.54"
2012/9/17,"2,258.71"
2012/9/18,"2,235.24"
2012/9/19,"2,246.24"
2012/9/20,"2,195.95"
2012/9/21,"2,199.06"
2012/9/24,"2,215.52"
2012/9/25,"2,210.15"
2012/9/26,"2,184.89"
2012/9/27,"2,251.72"
2012/9/28,"2,293.11"
2012/10/8,"2,270.05"
2012/10/9,"2,320.16"
2012/10/10,"2,324.12"
2012/10/11,"2,302.53"
2012/10/12,"2,304.53"
2012/10/15,"2,294.86"
2012/10/16,"2,298.16"
2012/10/17,"2,300.80"
2012/10/18,"2,336.08"
2012/10/19,"2,332.47"
2012/10/22,"2,341.59"
2012/10/23,"2,312.08"
2012/10/24,"2,307.78"
2012/10/25,"2,291.24"
2012/10/26,"2,247.91"
2012/10/29,"2,235.85"
2012/10/30,"2,239.88"
2012/10/31,"2,254.82"
2012/11/1,"2,297.88"
2012/11/2,"2,306.77"
2012/11/5,"2,301.88"
2012/11/6,"2,292.21"
2012/11/7,"2,287.51"
2012/11/8,"2,245.41"
2012/11/9,"2,240.92"
2012/11/12,"2,251.85"
2012/11/13,"2,212.44"
2012/11/14,"2,223.11"
2012/11/15,"2,193.62"
2012/11/16,"2,177.24"
2012/11/19,"2,174.99"
2012/11/20,"2,164.88"
2012/11/21,"2,194.90"
2012/11/22,"2,177.55"
2012/11/23,"2,192.68"
2012/11/26,"2,175.60"
2012/11/27,"2,150.64"
2012/11/28,"2,129.16"
2012/11/29,"2,115.68"
2012/11/30,"2,139.66"
2012/12/3,"2,108.85"
2012/12/4,"2,131.47"
2012/12/5,"2,207.88"
2012/12/6,"2,203.60"
2012/12/7,"2,246.76"
2012/12/10,"2,271.05"
2012/12/11,"2,258.50"
2012/12/12,"2,267.77"
2012/12/13,"2,242.64"
2012/12/14,"2,355.87"
2012/12/17,"2,366.70"
2012/12/18,"2,368.12"
2012/12/19,"2,371.11"
2012/12/20,"2,384.82"
2012/12/21,"2,372.00"
2012/12/24,"2,381.22"
2012/12/25,"2,448.40"
2012/12/26,"2,457.62"
2012/12/27,"2,444.59"
2012/12/28,"2,480.05"
2012/12/31,"2,522.95"
